source,target,value
B29C43,A61F2002,4
B29C43,B29B2911,7
B29C43,B29C2043,10
B29C43,B29C31,4
B29C43,B29C33,9
B29C43,B29C35,2
B29C43,B29C44,2
B29C43,B29C45,6
B29C43,B29C47,9
B29C43,B29C49,2
B29C43,B29C51,6
B29C43,B29C59,4
B29C43,B29C65,4
B29C43,B29C66,9
B29C43,B29C70,9
B29C43,B29K2023,8
B29C43,B29K2101,1
B29C43,B29K2105,9
B29C43,B29K2995,7
B29C43,B29L2011,3
B29C43,B29L2031,10
B29C43,B30B11,1
B29C43,B30B15,2
B29C43,B32B2260,2
B29C43,B32B2262,4
B29C43,B32B2307,5
B29C43,B32B27,7
B29C43,B32B3,2
B29C43,B32B37,3
B29C43,B32B5,4
B29C43,B82Y10,3
B29C43,B82Y40,3
B29C43,C08L23,6
B29C43,C08L2666,1
B29C43,G03F7,3
B29C43,H01L2224,6
B29C43,H01L2924,9
B29C43,Y10T156,7
B29C43,Y10T29,4
B29C43,Y10T428,10
B29C43,Y10T442,5
B29C70,B29B11,7
B29C70,B29B15,2
B29C70,B29C2035,6
B29C70,B29C2043,6
B29C70,B29C2791,1
B29C70,B29C2793,3
B29C70,B29C33,9
B29C70,B29C35,8
B29C70,B29C37,2
B29C70,B29C43,8
B29C70,B29C44,1
B29C70,B29C45,7
B29C70,B29C47,8
B29C70,B29C51,4
B29C70,B29C53,9
B29C70,B29C65,9
B29C70,B29C66,10
B29C70,B29D99,9
B29C70,B29K2063,7
B29C70,B29K2067,1
B29C70,B29K2077,3
B29C70,B29K2101,7
B29C70,B29K2105,10
B29C70,B29K2307,8
B29C70,B29K2309,4
B29C70,B29K2707,7
B29C70,B29K2709,4
B29C70,B29K2995,7
B29C70,B29L2009,2
B29C70,B29L2023,4
B29C70,B29L2031,10
B29C70,B32B15,2
B29C70,B32B2250,4
B29C70,B32B2260,7
B29C70,B32B2262,9
B29C70,B32B2305,4
B29C70,B32B2307,8
B29C70,B32B2605,5
B29C70,B32B27,7
B29C70,B32B3,5
B29C70,B32B37,6
B29C70,B32B38,1
B29C70,B32B5,9
B29C70,B64C1,7
B29C70,B64C3,1
B29C70,C08J5,7
B29C70,D04H1,1
B29C70,D04H3,1
B29C70,F03D1,2
B29C70,F05B2280,2
B29C70,F05D2300,6
B29C70,F41H5,4
B29C70,H01L2924,4
B29C70,Y02E10,5
B29C70,Y02P70,6
B29C70,Y02T50,9
B29C70,Y10T156,10
B29C70,Y10T29,9
B29C70,Y10T428,10
B29C70,Y10T442,8
B29C70,Y10T83,7
B32B1,B29B2911,6
B32B1,B29C47,8
B32B1,B29C65,2
B32B1,B29C66,4
B32B1,B32B2250,5
B32B1,B32B2262,3
B32B1,B32B2264,1
B32B1,B32B2266,4
B32B1,B32B2307,9
B32B1,B32B2439,1
B32B1,B32B25,4
B32B1,B32B2597,2
B32B1,B32B27,10
B32B1,B32B3,5
B32B1,B32B5,6
B32B1,B32B7,2
B32B1,Y10T29,2
B32B1,Y10T428,10
B32B27,A23B4,1
B32B27,A61F13,2
B32B27,B29B2911,4
B32B27,B29C2947,2
B32B27,B29C45,6
B32B27,B29C47,10
B32B27,B29C51,1
B32B27,B29C55,5
B32B27,B29C65,7
B32B27,B29C66,9
B32B27,B29K2023,6
B32B27,B29K2067,5
B32B27,B29K2105,7
B32B27,B29K2995,6
B32B27,B29L2009,2
B32B27,B29L2031,7
B32B27,B32B1,7
B32B27,B32B15,9
B32B27,B32B17,8
B32B27,B32B2038,3
B32B27,B32B21,4
B32B27,B32B2250,10
B32B27,B32B2255,10
B32B27,B32B2260,8
B32B27,B32B2262,10
B32B27,B32B2264,9
B32B27,B32B2266,6
B32B27,B32B2270,9
B32B27,B32B2274,6
B32B27,B32B23,1
B32B27,B32B2305,4
B32B27,B32B2307,10
B32B27,B32B2309,6
B32B27,B32B2367,4
B32B27,B32B2419,6
B32B27,B32B2437,2
B32B27,B32B2439,10
B32B27,B32B2451,3
B32B27,B32B2457,8
B32B27,B32B2471,3
B32B27,B32B25,9
B32B27,B32B2519,2
B32B27,B32B2553,7
B32B27,B32B2555,2
B32B27,B32B2571,3
B32B27,B32B2597,1
B32B27,B32B2605,9
B32B27,B32B2607,1
B32B27,B32B29,3
B32B27,B32B3,9
B32B27,B32B37,9
B32B27,B32B38,7
B32B27,B32B5,10
B32B27,B32B7,10
B32B27,B32B9,4
B32B27,B41M5,3
B32B27,B65D75,5
B32B27,C08G18,7
B32B27,C08G63,3
B32B27,C08J2323,2
B32B27,C08J2367,2
B32B27,C08J5,7
B32B27,C08J7,5
B32B27,C08K3,3
B32B27,C08K5,8
B32B27,C08L2205,7
B32B27,C08L23,10
B32B27,C08L2666,10
B32B27,C08L29,4
B32B27,C08L33,5
B32B27,C08L51,7
B32B27,C08L53,6
B32B27,C08L67,6
B32B27,C08L69,3
B32B27,C08L77,6
B32B27,C09J123,6
B32B27,C09J7,6
B32B27,C23C14,3
B32B27,D06N3,3
B32B27,E04F15,2
B32B27,G02B5,4
B32B27,G09F3,1
B32B27,H01L2924,2
B32B27,H01M2,5
B32B27,Y10S428,5
B32B27,Y10T156,9
B32B27,Y10T428,10
B32B27,Y10T442,10
C04B35,A61C13,3
C04B35,A61F2310,2
C04B35,A61K6,6
C04B35,B01D2046,3
C04B35,B01D46,7
C04B35,B01J20,6
C04B35,B01J35,6
C04B35,B22F2998,6
C04B35,B22F2999,2
C04B35,B22F3,7
C04B35,B28B1,2
C04B35,B32B18,5
C04B35,B82Y30,9
C04B35,C01B21,4
C04B35,C01B31,6
C04B35,C01G23,6
C04B35,C01G25,3
C04B35,C01G49,2
C04B35,C01P2002,9
C04B35,C01P2004,9
C04B35,C01P2006,9
C04B35,C03B5,1
C04B35,C04B14,9
C04B35,C04B18,3
C04B35,C04B20,4
C04B35,C04B2103,2
C04B35,C04B2111,10
C04B35,C04B22,2
C04B35,C04B2235,10
C04B35,C04B2237,10
C04B35,C04B24,2
C04B35,C04B28,7
C04B35,C04B33,6
C04B35,C04B37,6
C04B35,C04B38,10
C04B35,C04B40,7
C04B35,C04B41,10
C04B35,C07D401,3
C04B35,C08K3,2
C04B35,C09K11,6
C04B35,C22C1,5
C04B35,C22C26,1
C04B35,C22C29,3
C04B35,C23C14,7
C04B35,C23C16,6
C04B35,C23C18,1
C04B35,C23C28,2
C04B35,C23C4,8
C04B35,F01D5,3
C04B35,F01N2330,1
C04B35,F01N3,6
C04B35,F27D1,4
C04B35,F41H5,1
C04B35,G02B1,1
C04B35,H01B3,2
C04B35,H01F1,3
C04B35,H01G4,9
C04B35,H01J37,3
C04B35,H01L21,8
C04B35,H01L2224,5
C04B35,H01L2924,6
C04B35,H01L33,4
C04B35,H01L41,9
C04B35,H01M10,1
C04B35,H01M4,8
C04B35,H01M8,1
C04B35,Y02E60,6
C04B35,Y02P40,1
C04B35,Y02P70,2
C04B35,Y02T50,1
C04B35,Y10S977,2
C04B35,Y10T29,6
C04B35,Y10T428,10
C04B35,Y10T442,2
C04B37,B23K1,1
C04B37,C04B2235,10
C04B37,C04B2237,10
C04B37,C04B35,8
C04B37,C04B38,1
C04B37,C04B41,5
C04B37,H01L2924,5
C04B37,Y10T428,9
C23C26,C04B41,2
C23C26,C23C28,4
C23C26,Y10T428,8
D04B1,D02G3,1
D04B1,D03D15,3
D04B1,D10B2403,6
D04B1,D10B2501,1
D04B1,Y10T428,8
D04B1,Y10T442,10
D04C1,D07B2201,1
D04C1,D07B2205,3
D04C1,Y10T428,1
D06N3,B32B2262,3
D06N3,B32B2307,1
D06N3,B32B27,5
D06N3,B32B5,3
D06N3,C08G18,4
D06N3,D06M15,4
D06N3,D06N2209,5
D06N3,Y10T428,9
D06N3,Y10T442,9
E04C2,B29C44,2
E04C2,B29C47,4
E04C2,B29C70,7
E04C2,B29D99,4
E04C2,B29L2031,2
E04C2,B32B13,6
E04C2,B32B17,2
E04C2,B32B21,5
E04C2,B32B2260,5
E04C2,B32B2262,7
E04C2,B32B2266,5
E04C2,B32B2307,9
E04C2,B32B2419,5
E04C2,B32B2607,6
E04C2,B32B27,8
E04C2,B32B3,8
E04C2,B32B37,5
E04C2,B32B38,3
E04C2,B32B5,8
E04C2,B32B7,5
E04C2,B44C5,1
E04C2,C04B14,8
E04C2,C04B18,4
E04C2,C04B20,4
E04C2,C04B2103,3
E04C2,C04B2111,5
E04C2,C04B24,5
E04C2,C04B28,8
E04C2,C04B38,3
E04C2,C04B41,6
E04C2,E04B1,10
E04C2,E04B2,8
E04C2,E04B2001,7
E04C2,E04B2002,7
E04C2,E04B5,2
E04C2,E04C2002,8
E04C2,E04C3,1
E04C2,E04D13,2
E04C2,E04D3,6
E04C2,E04F13,9
E04C2,E04F15,8
E04C2,E04F2201,4
E04C2,Y02W30,4
E04C2,Y10T156,7
E04C2,Y10T29,8
E04C2,Y10T403,2
E04C2,Y10T428,10
E04C2,Y10T442,8
F41A5,F41A19,1
F41A5,F41A21,1
F41A5,F41A3,6
F41A5,F41C23,1
F41H1,A41D13,1
F41H1,A42B3,1
F41H1,F41H5,8
F41H1,Y10T156,4
F41H1,Y10T428,7
F41H1,Y10T442,3
F41H5,B29C66,2
F41H5,B32B17,6
F41H5,B32B2262,7
F41H5,B32B2307,8
F41H5,B32B2571,5
F41H5,B32B27,7
F41H5,B32B5,8
F41H5,C04B2235,6
F41H5,C04B35,6
F41H5,F41H1,4
F41H5,F41H11,2
F41H5,F41H7,8
F41H5,F42D5,4
F41H5,Y10T156,5
F41H5,Y10T29,7
F41H5,Y10T428,10
F41H5,Y10T442,9
G01N29,A61B5,6
G01N29,A61B8,9
G01N29,B01L2200,1
G01N29,B01L2300,5
G01N29,B01L2400,2
G01N29,B01L3,2
G01N29,B06B1,4
G01N29,B29C66,1
G01N29,G01B17,4
G01N29,G01F1,3
G01N29,G01M5,2
G01N29,G01N15,3
G01N29,G01N2015,1
G01N29,G01N21,6
G01N29,G01N2203,4
G01N29,G01N2291,10
G01N29,G01N27,1
G01N29,G01N33,8
G01N29,G01S15,7
G01N29,G01S7,6
G01N29,G07D7,1
G01N29,G10K11,5
G01N29,H01L41,1
G01N29,H03H9,4
G01N29,Y10T29,8
G01N29,Y10T436,3
G01N3,G01L5,4
G01N3,G01M5,8
G01N3,G01M7,2
G01N3,G01M99,4
G01N3,G01N19,5
G01N3,G01N2033,4
G01N3,G01N2203,10
G01N3,G01N2291,2
G01N3,G01N29,3
G01N3,G01N33,6
G01N3,H01L2224,1
G01N3,Y10T137,5
G01N3,Y10T29,5
G01N3,Y10T428,4
G01P15,A61B5,6
G01P15,A63B2220,5
G01P15,A63B24,2
G01P15,B81B2201,9
G01P15,B81B2203,6
G01P15,B81B2207,2
G01P15,B81B3,6
G01P15,B81B7,5
G01P15,B81C1,7
G01P15,B81C2203,3
G01P15,G01C19,9
G01P15,G01C21,1
G01P15,G01L9,1
G01P15,G01P1,7
G01P15,G01P2015,10
G01P15,G01P21,2
G01P15,G02B6,2
G01P15,G06F3,1
G01P15,H01L2224,8
G01P15,H01L2924,9
G01P15,H01L41,3
G01P15,Y10T29,8
G02B6,A61B1,9
