id,group
B29C43,B
B29C70,B
B32B1,B
B32B27,B
C04B35,C
C04B37,C
C23C26,C
D04B1,D
D04C1,D
D06N3,D
E04C2,E
F41A5,F
F41H1,F
F41H5,F
G01N29,G
G01N3,G
G01P15,G
G02B6,G
H02J5,H
A61F2002,A
B29B2911,B
B29C2043,B
B29C31,B
B29C33,B
B29C35,B
B29C44,B
B29C45,B
B29C47,B
B29C49,B
B29C51,B
B29C59,B
B29C65,B
B29C66,B
B29K2023,B
B29K2101,B
B29K2105,B
B29K2995,B
B29L2011,B
B29L2031,B
B30B11,B
B30B15,B
B32B2260,B
B32B2262,B
B32B2307,B
B32B3,B
B32B37,B
B32B5,B
B82Y10,B
B82Y40,B
C08L23,C
C08L2666,C
G03F7,G
H01L2224,H
H01L2924,H
Y10T156,Y
Y10T29,Y
Y10T428,Y
Y10T442,Y
B29B11,B
B29B15,B
B29C2035,B
B29C2791,B
B29C2793,B
B29C37,B
B29C53,B
B29D99,B
B29K2063,B
B29K2067,B
B29K2077,B
B29K2307,B
B29K2309,B
B29K2707,B
B29K2709,B
B29L2009,B
B29L2023,B
B32B15,B
B32B2250,B
B32B2305,B
B32B2605,B
B32B38,B
B64C1,B
B64C3,B
C08J5,C
D04H1,D
D04H3,D
F03D1,F
F05B2280,F
F05D2300,F
Y02E10,Y
Y02P70,Y
Y02T50,Y
Y10T83,Y
B32B2264,B
B32B2266,B
B32B2439,B
B32B25,B
B32B2597,B
B32B7,B
A23B4,A
A61F13,A
B29C2947,B
B29C55,B
B32B17,B
B32B2038,B
B32B21,B
B32B2255,B
B32B2270,B
B32B2274,B
B32B23,B
B32B2309,B
B32B2367,B
B32B2419,B
B32B2437,B
B32B2451,B
B32B2457,B
B32B2471,B
B32B2519,B
B32B2553,B
B32B2555,B
B32B2571,B
B32B2607,B
B32B29,B
B32B9,B
B41M5,B
B65D75,B
C08G18,C
C08G63,C
C08J2323,C
C08J2367,C
C08J7,C
C08K3,C
C08K5,C
C08L2205,C
C08L29,C
