source,target,weight
B29C43,A61F2002,34
B29C43,B29B2911,56
B29C43,B29C2043,492
B29C43,B29C31,31
B29C43,B29C33,138
B29C43,B29C35,26
B29C43,B29C44,23
B29C43,B29C45,53
B29C43,B29C47,187
B29C43,B29C49,23
B29C43,B29C51,47
B29C43,B29C59,35
B29C43,B29C65,33
B29C43,B29C66,145
B29C43,B29C70,148
B29C43,B29K2023,73
B29C43,B29K2101,20
B29C43,B29K2105,180
B29C43,B29K2995,56
B29C43,B29L2011,27
B29C43,B29L2031,234
B29C43,B30B11,21
B29C43,B30B15,24
B29C43,B32B2260,24
B29C43,B32B2262,31
B29C43,B32B2307,36
B29C43,B32B27,55
B29C43,B32B3,24
B29C43,B32B37,28
B29C43,B32B5,34
B29C43,B82Y10,28
B29C43,B82Y40,28
B29C43,C08L23,46
B29C43,C08L2666,21
B29C43,G03F7,28
B29C43,H01L2224,51
B29C43,H01L2924,134
B29C43,Y10T156,55
B29C43,Y10T29,32
B29C43,Y10T428,262
B29C43,Y10T442,40
B29C70,B29B11,64
B29C70,B29B15,26
B29C70,B29C2035,47
B29C70,B29C2043,50
B29C70,B29C2791,22
B29C70,B29C2793,30
B29C70,B29C33,182
B29C70,B29C35,85
B29C70,B29C37,26
B29C70,B29C43,95
B29C70,B29C44,20
B29C70,B29C45,68
B29C70,B29C47,86
B29C70,B29C51,35
B29C70,B29C53,126
B29C70,B29C65,168
B29C70,B29C66,598
B29C70,B29D99,130
B29C70,B29K2063,60
B29C70,B29K2067,22
B29C70,B29K2077,28
B29C70,B29K2101,71
B29C70,B29K2105,241
B29C70,B29K2307,76
B29C70,B29K2309,35
B29C70,B29K2707,56
B29C70,B29K2709,31
B29C70,B29K2995,63
B29C70,B29L2009,25
B29C70,B29L2023,35
B29C70,B29L2031,529
B29C70,B32B15,23
B29C70,B32B2250,32
B29C70,B32B2260,64
B29C70,B32B2262,116
B29C70,B32B2305,31
B29C70,B32B2307,82
B29C70,B32B2605,37
B29C70,B32B27,56
B29C70,B32B3,39
B29C70,B32B37,54
B29C70,B32B38,22
B29C70,B32B5,121
B29C70,B64C1,58
B29C70,B64C3,21
B29C70,C08J5,59
B29C70,D04H1,22
B29C70,D04H3,22
B29C70,F03D1,25
B29C70,F05B2280,26
B29C70,F05D2300,47
B29C70,F41H5,31
B29C70,H01L2924,31
B29C70,Y02E10,41
B29C70,Y02P70,46
B29C70,Y02T50,200
B29C70,Y10T156,585
B29C70,Y10T29,150
B29C70,Y10T428,769
B29C70,Y10T442,111
B29C70,Y10T83,58
B32B1,B29B2911,48
B32B1,B29C47,82
B32B1,B29C65,25
B32B1,B29C66,35
B32B1,B32B2250,37
B32B1,B32B2262,29
B32B1,B32B2264,20
B32B1,B32B2266,32
B32B1,B32B2307,173
B32B1,B32B2439,20
B32B1,B32B25,34
B32B1,B32B2597,23
B32B1,B32B27,213
B32B1,B32B3,38
B32B1,B32B5,53
B32B1,B32B7,26
B32B1,Y10T29,25
B32B1,Y10T428,339
B32B27,A23B4,21
B32B27,A61F13,26
B32B27,B29B2911,33
B32B27,B29C2947,24
B32B27,B29C45,46
B32B27,B29C47,212
B32B27,B29C51,22
B32B27,B29C55,39
B32B27,B29C65,63
B32B27,B29C66,172
B32B27,B29K2023,46
B32B27,B29K2067,36
B32B27,B29K2105,55
B32B27,B29K2995,48
B32B27,B29L2009,26
B32B27,B29L2031,64
B32B27,B32B1,61
B32B27,B32B15,149
B32B27,B32B17,91
B32B27,B32B2038,29
B32B27,B32B21,33
B32B27,B32B2250,428
B32B27,B32B2255,274
B32B27,B32B2260,76
B32B27,B32B2262,249
B32B27,B32B2264,185
B32B27,B32B2266,45
B32B27,B32B2270,158
B32B27,B32B2274,50
B32B27,B32B23,20
B32B27,B32B2305,34
B32B27,B32B2307,1873
B32B27,B32B2309,46
B32B27,B32B2367,33
B32B27,B32B2419,50
B32B27,B32B2437,23
B32B27,B32B2439,277
B32B27,B32B2451,27
B32B27,B32B2457,88
B32B27,B32B2471,27
B32B27,B32B25,132
B32B27,B32B2519,26
B32B27,B32B2553,68
B32B27,B32B2555,23
B32B27,B32B2571,28
B32B27,B32B2597,20
B32B27,B32B2605,112
B32B27,B32B2607,21
B32B27,B32B29,29
B32B27,B32B3,140
B32B27,B32B37,118
B32B27,B32B38,58
B32B27,B32B5,256
B32B27,B32B7,320
B32B27,B32B9,33
B32B27,B41M5,30
B32B27,B65D75,38
B32B27,C08G18,68
B32B27,C08G63,28
B32B27,C08J2323,24
B32B27,C08J2367,26
B32B27,C08J5,58
B32B27,C08J7,40
B32B27,C08K3,27
B32B27,C08K5,104
B32B27,C08L2205,56
B32B27,C08L23,324
B32B27,C08L2666,239
B32B27,C08L29,35
B32B27,C08L33,41
B32B27,C08L51,55
B32B27,C08L53,54
B32B27,C08L67,50
B32B27,C08L69,30
B32B27,C08L77,43
B32B27,C09J123,45
B32B27,C09J7,43
B32B27,C23C14,28
B32B27,D06N3,28
B32B27,E04F15,25
B32B27,G02B5,31
B32B27,G09F3,20
B32B27,H01L2924,26
B32B27,H01M2,39
B32B27,Y10S428,42
B32B27,Y10T156,121
B32B27,Y10T428,3778
B32B27,Y10T442,365
C04B35,A61C13,30
C04B35,A61F2310,24
C04B35,A61K6,49
C04B35,B01D2046,30
C04B35,B01D46,65
C04B35,B01J20,47
C04B35,B01J35,44
C04B35,B22F2998,45
C04B35,B22F2999,24
C04B35,B22F3,69
C04B35,B28B1,23
C04B35,B32B18,40
C04B35,B82Y30,131
C04B35,C01B21,33
C04B35,C01B31,48
C04B35,C01G23,43
C04B35,C01G25,27
C04B35,C01G49,25
C04B35,C01P2002,154
C04B35,C01P2004,190
C04B35,C01P2006,137
C04B35,C03B5,20
C04B35,C04B14,138
C04B35,C04B18,27
C04B35,C04B20,33
C04B35,C04B2103,25
C04B35,C04B2111,255
C04B35,C04B22,23
C04B35,C04B2235,12128
C04B35,C04B2237,260
C04B35,C04B24,25
C04B35,C04B28,61
C04B35,C04B33,47
C04B35,C04B37,50
C04B35,C04B38,694
C04B35,C04B40,57
C04B35,C04B41,468
C04B35,C07D401,30
C04B35,C08K3,25
C04B35,C09K11,53
C04B35,C22C1,37
C04B35,C22C26,21
C04B35,C22C29,27
C04B35,C23C14,65
C04B35,C23C16,50
C04B35,C23C18,22
C04B35,C23C28,26
C04B35,C23C4,72
C04B35,F01D5,28
C04B35,F01N2330,20
C04B35,F01N3,44
C04B35,F27D1,35
C04B35,F41H5,22
C04B35,G02B1,22
C04B35,H01B3,24
C04B35,H01F1,28
C04B35,H01G4,160
C04B35,H01J37,28
C04B35,H01L21,77
C04B35,H01L2224,36
C04B35,H01L2924,51
C04B35,H01L33,32
C04B35,H01L41,164
C04B35,H01M10,22
