maingroup,mg_def
A01B1,SOIL WORKING IN AGRICULTURE OR FORESTRY - Hand tools 
A01B3,SOIL WORKING IN AGRICULTURE OR FORESTRY - Ploughs with fixed plough-shares
A01B5,"SOIL WORKING IN AGRICULTURE OR FORESTRY - Ploughs with rolling non-driven tools, e.g. discs "
A01B7,"SOIL WORKING IN AGRICULTURE OR FORESTRY - Disc-like soil-working implements usable either as ploughs or as harrows, or the like"
A01B9,SOIL WORKING IN AGRICULTURE OR FORESTRY - Ploughs with rotary driven tools 
A01B11,"SOIL WORKING IN AGRICULTURE OR FORESTRY - Ploughs with oscillating, digging or piercing tools "
A01B13,SOIL WORKING IN AGRICULTURE OR FORESTRY - Ploughs or like machines for special purposes 
A01B15,"SOIL WORKING IN AGRICULTURE OR FORESTRY - Elements, tools, or details of ploughs"
A01B17,"SOIL WORKING IN AGRICULTURE OR FORESTRY - Ploughs with special additional arrangements, e.g. means for putting manure under the soil, clod-crushers "
A01B19,SOIL WORKING IN AGRICULTURE OR FORESTRY - Harrows with non-rotating tools 
A01B21,SOIL WORKING IN AGRICULTURE OR FORESTRY - Harrows with rotary non-driven tools 
A01B23,"SOIL WORKING IN AGRICULTURE OR FORESTRY - Elements, tools, or details of harrows"
A01B25,"SOIL WORKING IN AGRICULTURE OR FORESTRY - Harrows with special additional arrangements, e.g. means for distributing fertilisers"
A01B27,SOIL WORKING IN AGRICULTURE OR FORESTRY - Clod-crushers
A01B29,SOIL WORKING IN AGRICULTURE OR FORESTRY - Rollers 
A01B31,SOIL WORKING IN AGRICULTURE OR FORESTRY - Drags 
A01B33,"SOIL WORKING IN AGRICULTURE OR FORESTRY - Tilling implements with rotary driven tools, "
A01B35,SOIL WORKING IN AGRICULTURE OR FORESTRY - Other machines for working soil 
A01B37,SOIL WORKING IN AGRICULTURE OR FORESTRY - Devices for loosening soil compacted by wheels or the like
A01B39,SOIL WORKING IN AGRICULTURE OR FORESTRY - Other machines specially adapted for working soil on which crops are growing
